category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising"
,0,1,0,0,0,0,0,0,0
3D,0,0,0,0,0,1,0,0,0
3D Printing,0,0,0,0,0,1,0,0,0
3D Technology,0,0,0,0,0,1,0,0,0
Accounting,0,0,0,0,0,0,0,0,1
Active Lifestyle,0,0,0,0,1,0,0,0,0
Ad Targeting,0,0,0,0,0,0,0,0,1
Advanced Materials,0,0,0,0,0,1,0,0,0
Adventure Travel,1,0,0,0,0,0,0,0,0
Advertising,0,0,0,0,0,0,0,0,1
Advertising Exchanges,0,0,0,0,0,0,0,0,1
Advertising Networks,0,0,0,0,0,0,0,0,1
Advertising Platforms,0,0,0,0,0,0,0,0,1
Advice,0,0,0,0,0,0,0,1,0
Aerospace,1,0,0,0,0,0,0,0,0
Agriculture,0,0,0,0,0,1,0,0,0
Air Pollution Control,0,0,1,0,0,0,0,0,0
Algorithms,0,0,0,0,0,0,0,1,0
All Markets,0,0,0,0,0,0,0,1,0
All Students,0,0,0,0,0,0,0,1,0
Alter0tive Medicine,0,0,0,0,1,0,0,0,0
Alumni,0,0,0,0,0,0,0,1,0
A0lytics,0,0,0,0,0,0,0,0,1
Android,0,0,0,0,0,0,0,0,1
Angels,0,0,0,0,0,0,0,1,0
Animal Feed,0,0,0,0,1,0,0,0,0
Anything Capital Intensive,0,0,0,0,0,0,0,0,1
App Discovery,0,0,0,0,0,0,1,0,0
App Marketing,0,0,0,0,0,0,1,0,0
App Stores,0,0,0,0,0,0,1,0,0
Application Performance Monitoring,0,0,0,0,0,0,1,0,0
Application Platforms,0,0,0,0,0,0,1,0,0
Apps,0,0,0,0,0,0,1,0,0
Aquaculture,0,0,1,0,0,0,0,0,0
Architecture,0,0,0,0,0,1,0,0,0
Archiving,0,0,0,0,0,0,1,0,0
Art,0,0,0,1,0,0,0,0,0
Artificial Intelligence,0,0,0,0,0,0,0,0,1
Artists Globally,0,0,0,1,0,0,0,0,0
Assisitive Technology,0,0,0,0,1,0,0,0,0
Assisted Living,0,0,0,0,1,0,0,0,0
Auctions,0,0,0,0,0,0,0,0,1
Audio,0,0,0,1,0,0,0,0,0
Audiobooks,0,0,0,1,0,0,0,0,0
Augmented Reality,0,0,0,0,0,0,0,0,1
Auto,1,0,0,0,0,0,0,0,0
Automated Kiosk,1,0,0,0,0,0,0,0,0
Automotive,1,0,0,0,0,0,0,0,0
B2B,0,0,0,0,0,0,0,0,1
B2B Express Delivery,0,0,0,0,0,0,0,0,1
Babies,0,0,0,0,1,0,0,0,0
Baby Accessories,0,0,0,0,1,0,0,0,0
Baby Boomers,0,0,0,0,1,0,0,0,0
Baby Safety,0,0,0,0,1,0,0,0,0
Banking,0,0,0,0,0,0,0,0,1
Batteries,0,0,0,0,0,1,0,0,0
Beauty,0,0,0,0,1,0,0,0,0
Bicycles,1,0,0,0,0,0,0,0,0
Big Data,0,0,0,0,0,0,0,0,1
Big Data A0lytics,0,0,0,0,0,0,0,0,1
Billing,0,0,0,0,0,0,0,0,1
Bio-Pharm,0,0,1,0,0,0,0,0,0
Biofuels,0,0,1,0,0,0,0,0,0
Bioinformatics,0,0,1,0,0,0,0,0,0
Biomass Power Generation,0,0,1,0,0,0,0,0,0
Biometrics,0,0,1,0,0,0,0,0,0
Biotechnology,0,0,1,0,0,0,0,0,0
Bitcoin,0,0,1,0,0,0,0,0,0
Blogging Platforms,0,0,0,0,0,0,1,0,0
Boating Industry,1,0,0,0,0,0,0,0,0
BPO Services,0,0,0,0,0,0,0,0,1
Brand Marketing,0,0,0,0,0,0,0,0,1
Brewing,0,0,0,1,0,0,0,0,0
Bridging Online and Offline,0,0,0,0,0,0,0,0,1
Broadcasting,0,0,0,0,0,0,1,0,0
Brokers,0,0,0,0,0,0,1,0,0
Browser Extensions,0,0,0,0,0,0,1,0,0
Building Owners,0,0,0,0,0,0,1,0,0
Building Products,0,0,0,0,0,1,0,0,0
Business A0lytics,0,0,0,0,0,0,0,0,1
Business Development,0,0,0,0,0,0,0,0,1
Business Information Systems,0,0,0,0,0,0,0,0,1
Business Intelligence,0,0,0,0,0,0,0,0,1
Business Productivity,0,0,0,0,0,0,0,0,1
Business Services,0,0,0,0,0,0,0,0,1
Business Travelers,0,0,0,1,0,0,0,0,0
Cable,0,0,0,0,0,0,1,0,0
CAD,1,0,0,0,0,0,0,0,0
Call Center Automation,0,0,0,0,0,0,1,0,0
Can0bis,0,0,0,0,1,0,0,0,0
Carbon,0,0,1,0,0,0,0,0,0
Career Ma0gement,0,0,0,0,0,0,0,0,1
Career Planning,0,0,0,0,0,0,0,0,1
Cars,1,0,0,0,0,0,0,0,0
Casual Games,0,0,0,1,0,0,0,0,0
Celebrity,0,0,0,1,0,0,0,0,0
Certification Test,0,0,0,0,0,0,1,0,0
Charities,0,0,0,0,0,0,0,0,1
Charity,0,0,0,0,0,0,0,0,1
Charter Schools,0,0,0,0,0,0,0,0,1
Chat,0,0,0,0,0,0,1,0,0
Chemicals,0,0,1,0,0,0,0,0,0
Child Care,0,0,0,0,1,0,0,0,0
Chi0 Internet,0,0,0,0,0,0,1,0,0
Civil Engineers,0,0,0,0,0,1,0,0,0
Classifieds,0,0,0,0,0,0,1,0,0
Clean Energy,0,0,1,0,0,0,0,0,0
Clean Technology,0,0,1,0,0,0,0,0,0
Clean Technology IT,0,0,1,0,0,0,0,0,0
Clinical Trials,0,0,0,0,1,0,0,0,0
Cloud-Based Music,0,0,0,0,0,0,1,0,0
Cloud Computing,0,0,0,0,0,0,1,0,0
Cloud Data Services,0,0,0,0,0,0,1,0,0
Cloud Infrastructure,0,0,0,0,0,0,1,0,0
Cloud Ma0gement,0,0,0,0,0,0,1,0,0
Cloud Security,0,0,0,0,0,0,1,0,0
Coffee,0,0,0,1,0,0,0,0,0
Collaboration,0,0,0,0,0,0,0,0,1
Collaborative Consumption,0,0,0,0,0,0,0,0,1
Collectibles,0,0,0,0,0,0,0,1,0
College Campuses,0,0,0,0,0,0,0,1,0
